세가지 보석,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,전설의 뿔피리,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,황금 인장 반지,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,화염 부적,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,아누비스의 가면,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,잊혀진 기억 로켓,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,결의의 증표,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,고룡의 비늘,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,어둠에 물든 구슬,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem,,시간의 모래시계,레벨,효과,다음 레벨 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,266,올스텟 +266,54,"7,209",-,"25,110",,,,,,,,,,,266,환생 포인트 획득량 266% 증가,526,"66,798",-,"89,100",,,266,최종 STR 266% 증가,785,"98,213",-,"83,950",,,266,최종 DEX 266% 증가,785,"98,213",-,"83,950",,,266,최종 INT 266% 증가,785,"98,213",-,"83,950",,,266,최종 LUK 266% 증가,785,"98,213",-,"83,950",,,266,최종 공격력 266% 증가,"1,048","131,673",-,"89,100",,,266,최종 크리티컬 데미지 266% 증가,"1,311","165,135",-,"92,360",,,,,,,,,,,,,,,,
,267,올스텟 +267,54,"7,263",-,"25,110",,,,,,,,,,,267,환생 포인트 획득량 267% 증가,528,"67,324",-,"89,100",,,267,최종 STR 267% 증가,788,"98,998",-,"83,950",,,267,최종 DEX 267% 증가,788,"98,998",-,"83,950",,,267,최종 INT 267% 증가,788,"98,998",-,"83,950",,,267,최종 LUK 267% 증가,788,"98,998",-,"83,950",,,267,최종 공격력 267% 증가,"1,053","132,721",-,"89,100",,,267,최종 크리티컬 데미지 267% 증가,"1,317","166,446",-,"92,360",,,,,,,,,,,,,,,,
,268,올스텟 +268,54,"7,317",-,"25,110",,,,,,,,,,,268,환생 포인트 획득량 268% 증가,530,"67,852",-,"89,100",,,268,최종 STR 268% 증가,792,"99,786",-,"83,950",,,268,최종 DEX 268% 증가,792,"99,786",-,"83,950",,,268,최종 INT 268% 증가,792,"99,786",-,"83,950",,,268,최종 LUK 268% 증가,792,"99,786",-,"83,950",,,268,최종 공격력 268% 증가,"1,057","133,774",-,"89,100",,,268,최종 크리티컬 데미지 268% 증가,"1,322","167,763",-,"92,360",,,,,,,,,,,,,,,,
,269,올스텟 +269,54,"7,371",-,"25,110",,,,,,,,,,,269,환생 포인트 획득량 269% 증가,532,"68,382",-,"89,100",,,269,최종 STR 269% 증가,795,"100,578",-,"83,950",,,269,최종 DEX 269% 증가,795,"100,578",-,"83,950",,,269,최종 INT 269% 증가,795,"100,578",-,"83,950",,,269,최종 LUK 269% 증가,795,"100,578",-,"83,950",,,269,최종 공격력 269% 증가,"1,061","134,831",-,"89,100",,,269,최종 크리티컬 데미지 269% 증가,"1,328","169,085",-,"92,360",,,,,,,,,,,,,,,,
,270,올스텟 +270,55,"7,425",💎 740,"25,850",,,,,,,,,,,270,환생 포인트 획득량 270% 증가,534,"68,914","💎 2,000","91,100",,,270,최종 STR 270% 증가,798,"101,373","💎 2,000","85,950",,,270,최종 DEX 270% 증가,798,"101,373","💎 2,000","85,950",,,270,최종 INT 270% 증가,798,"101,373","💎 2,000","85,950",,,270,최종 LUK 270% 증가,798,"101,373","💎 2,000","85,950",,,270,최종 공격력 270% 증가,"1,066","135,892","💎 2,000","91,100",,,270,최종 크리티컬 데미지 270% 증가,"1,333","170,413","💎 2,000","94,360",,,,,,,,,,,,,,,,
,271,올스텟 +271,55,"7,480",-,"25,850",,,,,,,,,,,271,환생 포인트 획득량 271% 증가,537,"69,448",-,"91,100",,,271,최종 STR 271% 증가,802,"102,171",-,"85,950",,,271,최종 DEX 271% 증가,802,"102,171",-,"85,950",,,271,최종 INT 271% 증가,802,"102,171",-,"85,950",,,271,최종 LUK 271% 증가,802,"102,171",-,"85,950",,,271,최종 공격력 271% 증가,"1,070","136,958",-,"91,100",,,271,최종 크리티컬 데미지 271% 증가,"1,339","171,746",-,"94,360",,,,,,,,,,,,,,,,
,272,올스텟 +272,55,"7,535",-,"25,850",,,,,,,,,,,272,환생 포인트 획득량 272% 증가,539,"69,985",-,"91,100",,,272,최종 STR 272% 증가,805,"102,973",-,"85,950",,,272,최종 DEX 272% 증가,805,"102,973",-,"85,950",,,272,최종 INT 272% 증가,805,"102,973",-,"85,950",,,272,최종 LUK 272% 증가,805,"102,973",-,"85,950",,,272,최종 공격력 272% 증가,"1,075","138,028",-,"91,100",,,272,최종 크리티컬 데미지 272% 증가,"1,344","173,085",-,"94,360",,,,,,,,,,,,,,,,
,273,올스텟 +273,55,"7,590",-,"25,850",,,,,,,,,,,273,환생 포인트 획득량 273% 증가,541,"70,524",-,"91,100",,,273,최종 STR 273% 증가,808,"103,778",-,"85,950",,,273,최종 DEX 273% 증가,808,"103,778",-,"85,950",,,273,최종 INT 273% 증가,808,"103,778",-,"85,950",,,273,최종 LUK 273% 증가,808,"103,778",-,"85,950",,,273,최종 공격력 273% 증가,"1,079","139,103",-,"91,100",,,273,최종 크리티컬 데미지 273% 증가,"1,350","174,429",-,"94,360",,,,,,,,,,,,,,,,
,274,올스텟 +274,55,"7,645",-,"25,850",,,,,,,,,,,274,환생 포인트 획득량 274% 증가,543,"71,065",-,"91,100",,,274,최종 STR 274% 증가,811,"104,586",-,"85,950",,,274,최종 DEX 274% 증가,811,"104,586",-,"85,950",,,274,최종 INT 274% 증가,811,"104,586",-,"85,950",,,274,최종 LUK 274% 증가,811,"104,586",-,"85,950",,,274,최종 공격력 274% 증가,"1,083","140,182",-,"91,100",,,274,최종 크리티컬 데미지 274% 증가,"1,355","175,779",-,"94,360",,,,,,,,,,,,,,,,
,275,올스텟 +275,56,"7,700",💎 750,"26,600",,,,,,,,,,,275,환생 포인트 획득량 275% 증가,545,"71,608","💎 2,000","93,100",,,275,최종 STR 275% 증가,815,"105,397","💎 2,000","87,950",,,275,최종 DEX 275% 증가,815,"105,397","💎 2,000","87,950",,,275,최종 INT 275% 증가,815,"105,397","💎 2,000","87,950",,,275,최종 LUK 275% 증가,815,"105,397","💎 2,000","87,950",,,275,최종 공격력 275% 증가,"1,088","141,265","💎 2,000","93,100",,,275,최종 크리티컬 데미지 275% 증가,"1,360","177,134","💎 2,000","96,360",,,,,,,,,,,,,,,,
,276,올스텟 +276,56,"7,756",-,"26,600",,,,,,,,,,,276,환생 포인트 획득량 276% 증가,547,"72,153",-,"93,100",,,276,최종 STR 276% 증가,818,"106,212",-,"87,950",,,276,최종 DEX 276% 증가,818,"106,212",-,"87,950",,,276,최종 INT 276% 증가,818,"106,212",-,"87,950",,,276,최종 LUK 276% 증가,818,"106,212",-,"87,950",,,276,최종 공격력 276% 증가,"1,092","142,353",-,"93,100",,,276,최종 크리티컬 데미지 276% 증가,"1,366","178,494",-,"96,360",,,,,,,,,,,,,,,,
,277,올스텟 +277,56,"7,812",-,"26,600",,,,,,,,,,,277,환생 포인트 획득량 277% 증가,549,"72,700",-,"93,100",,,277,최종 STR 277% 증가,821,"107,030",-,"87,950",,,277,최종 DEX 277% 증가,821,"107,030",-,"87,950",,,277,최종 INT 277% 증가,821,"107,030",-,"87,950",,,277,최종 LUK 277% 증가,821,"107,030",-,"87,950",,,277,최종 공격력 277% 증가,"1,096","143,445",-,"93,100",,,277,최종 크리티컬 데미지 277% 증가,"1,371","179,860",-,"96,360",,,,,,,,,,,,,,,,
,278,올스텟 +278,56,"7,868",-,"26,600",,,,,,,,,,,278,환생 포인트 획득량 278% 증가,552,"73,249",-,"93,100",,,278,최종 STR 278% 증가,825,"107,851",-,"87,950",,,278,최종 DEX 278% 증가,825,"107,851",-,"87,950",,,278,최종 INT 278% 증가,825,"107,851",-,"87,950",,,278,최종 LUK 278% 증가,825,"107,851",-,"87,950",,,278,최종 공격력 278% 증가,"1,101","144,541",-,"93,100",,,278,최종 크리티컬 데미지 278% 증가,"1,377","181,231",-,"96,360",,,,,,,,,,,,,,,,
,279,올스텟 +279,56,"7,924",-,"26,600",,,,,,,,,,,279,환생 포인트 획득량 279% 증가,554,"73,801",-,"93,100",,,279,최종 STR 279% 증가,828,"108,676",-,"87,950",,,279,최종 DEX 279% 증가,828,"108,676",-,"87,950",,,279,최종 INT 279% 증가,828,"108,676",-,"87,950",,,279,최종 LUK 279% 증가,828,"108,676",-,"87,950",,,279,최종 공격력 279% 증가,"1,105","145,642",-,"93,100",,,279,최종 크리티컬 데미지 279% 증가,"1,382","182,608",-,"96,360",,,,,,,,,,,,,,,,
,280,올스텟 +280,57,"7,980",💎 760,"27,360",,,,,,,,,,,280,환생 포인트 획득량 280% 증가,556,"74,355","💎 2,000","95,100",,,280,최종 STR 280% 증가,831,"109,504","💎 2,000","89,950",,,280,최종 DEX 280% 증가,831,"109,504","💎 2,000","89,950",,,280,최종 INT 280% 증가,831,"109,504","💎 2,000","89,950",,,280,최종 LUK 280% 증가,831,"109,504","💎 2,000","89,950",,,280,최종 공격력 280% 증가,"1,110","146,747","💎 2,000","95,100",,,280,최종 크리티컬 데미지 280% 증가,"1,388","183,990","💎 2,000","98,360",,,,,,,,,,,,,,,,
,281,올스텟 +281,57,"8,037",-,"27,360",,,,,,,,,,,281,환생 포인트 획득량 281% 증가,558,"74,911",-,"95,100",,,281,최종 STR 281% 증가,835,"110,335",-,"89,950",,,281,최종 DEX 281% 증가,835,"110,335",-,"89,950",,,281,최종 INT 281% 증가,835,"110,335",-,"89,950",,,281,최종 LUK 281% 증가,835,"110,335",-,"89,950",,,281,최종 공격력 281% 증가,"1,114","147,857",-,"95,100",,,281,최종 크리티컬 데미지 281% 증가,"1,393","185,378",-,"98,360",,,,,,,,,,,,,,,,
,282,올스텟 +282,57,"8,094",-,"27,360",,,,,,,,,,,282,환생 포인트 획득량 282% 증가,560,"75,469",-,"95,100",,,282,최종 STR 282% 증가,838,"111,170",-,"89,950",,,282,최종 DEX 282% 증가,838,"111,170",-,"89,950",,,282,최종 INT 282% 증가,838,"111,170",-,"89,950",,,282,최종 LUK 282% 증가,838,"111,170",-,"89,950",,,282,최종 공격력 282% 증가,"1,118","148,971",-,"95,100",,,282,최종 크리티컬 데미지 282% 증가,"1,399","186,771",-,"98,360",,,,,,,,,,,,,,,,
,283,올스텟 +283,57,"8,151",-,"27,360",,,,,,,,,,,283,환생 포인트 획득량 283% 증가,562,"76,029",-,"95,100",,,283,최종 STR 283% 증가,841,"112,008",-,"89,950",,,283,최종 DEX 283% 증가,841,"112,008",-,"89,950",,,283,최종 INT 283% 증가,841,"112,008",-,"89,950",,,283,최종 LUK 283% 증가,841,"112,008",-,"89,950",,,283,최종 공격력 283% 증가,"1,123","150,089",-,"95,100",,,283,최종 크리티컬 데미지 283% 증가,"1,404","188,170",-,"98,360",,,,,,,,,,,,,,,,
,284,올스텟 +284,57,"8,208",-,"27,360",,,,,,,,,,,284,환생 포인트 획득량 284% 증가,565,"76,591",-,"95,100",,,284,최종 STR 284% 증가,845,"112,849",-,"89,950",,,284,최종 DEX 284% 증가,845,"112,849",-,"89,950",,,284,최종 INT 284% 증가,845,"112,849",-,"89,950",,,284,최종 LUK 284% 증가,845,"112,849",-,"89,950",,,284,최종 공격력 284% 증가,"1,127","151,212",-,"95,100",,,284,최종 크리티컬 데미지 284% 증가,"1,410","189,574",-,"98,360",,,,,,,,,,,,,,,,
,285,올스텟 +285,58,"8,265",💎 770,"28,130",,,,,,,,,,,285,환생 포인트 획득량 285% 증가,567,"77,156","💎 2,000","97,100",,,285,최종 STR 285% 증가,848,"113,694","💎 2,000","91,950",,,285,최종 DEX 285% 증가,848,"113,694","💎 2,000","91,950",,,285,최종 INT 285% 증가,848,"113,694","💎 2,000","91,950",,,285,최종 LUK 285% 증가,848,"113,694","💎 2,000","91,950",,,285,최종 공격력 285% 증가,"1,131","152,339","💎 2,000","97,100",,,285,최종 크리티컬 데미지 285% 증가,"1,415","190,984","💎 2,000","100,360",,,,,,,,,,,,,,,,
,286,올스텟 +286,58,"8,323",-,"28,130",,,,,,,,,,,286,환생 포인트 획득량 286% 증가,569,"77,723",-,"97,100",,,286,최종 STR 286% 증가,851,"114,542",-,"91,950",,,286,최종 DEX 286% 증가,851,"114,542",-,"91,950",,,286,최종 INT 286% 증가,851,"114,542",-,"91,950",,,286,최종 LUK 286% 증가,851,"114,542",-,"91,950",,,286,최종 공격력 286% 증가,"1,136","153,470",-,"97,100",,,286,최종 크리티컬 데미지 286% 증가,"1,421","192,399",-,"100,360",,,,,,,,,,,,,,,,
,287,올스텟 +287,58,"8,381",-,"28,130",,,,,,,,,,,287,환생 포인트 획득량 287% 증가,571,"78,292",-,"97,100",,,287,최종 STR 287% 증가,854,"115,393",-,"91,950",,,287,최종 DEX 287% 증가,854,"115,393",-,"91,950",,,287,최종 INT 287% 증가,854,"115,393",-,"91,950",,,287,최종 LUK 287% 증가,854,"115,393",-,"91,950",,,287,최종 공격력 287% 증가,"1,140","154,606",-,"97,100",,,287,최종 크리티컬 데미지 287% 증가,"1,426","193,820",-,"100,360",,,,,,,,,,,,,,,,
,288,올스텟 +288,58,"8,439",-,"28,130",,,,,,,,,,,288,환생 포인트 획득량 288% 증가,573,"78,863",-,"97,100",,,288,최종 STR 288% 증가,858,"116,247",-,"91,950",,,288,최종 DEX 288% 증가,858,"116,247",-,"91,950",,,288,최종 INT 288% 증가,858,"116,247",-,"91,950",,,288,최종 LUK 288% 증가,858,"116,247",-,"91,950",,,288,최종 공격력 288% 증가,"1,145","155,746",-,"97,100",,,288,최종 크리티컬 데미지 288% 증가,"1,431","195,246",-,"100,360",,,,,,,,,,,,,,,,
,289,올스텟 +289,58,"8,497",-,"28,130",,,,,,,,,,,289,환생 포인트 획득량 289% 증가,575,"79,436",-,"97,100",,,289,최종 STR 289% 증가,861,"117,105",-,"91,950",,,289,최종 DEX 289% 증가,861,"117,105",-,"91,950",,,289,최종 INT 289% 증가,861,"117,105",-,"91,950",,,289,최종 LUK 289% 증가,861,"117,105",-,"91,950",,,289,최종 공격력 289% 증가,"1,149","156,891",-,"97,100",,,289,최종 크리티컬 데미지 289% 증가,"1,437","196,677",-,"100,360",,,,,,,,,,,,,,,,
,290,올스텟 +290,59,"8,555",💎 780,"28,910",,,,,,,,,,,290,환생 포인트 획득량 290% 증가,577,"80,011","💎 2,000","99,100",,,290,최종 STR 290% 증가,864,"117,966","💎 2,000","93,950",,,290,최종 DEX 290% 증가,864,"117,966","💎 2,000","93,950",,,290,최종 INT 290% 증가,864,"117,966","💎 2,000","93,950",,,290,최종 LUK 290% 증가,864,"117,966","💎 2,000","93,950",,,290,최종 공격력 290% 증가,"1,153","158,040","💎 2,000","99,100",,,290,최종 크리티컬 데미지 290% 증가,"1,442","198,114","💎 2,000","102,360",,,,,,,,,,,,,,,,
,291,올스텟 +291,59,"8,614",-,"28,910",,,,,,,,,,,291,환생 포인트 획득량 291% 증가,580,"80,588",-,"99,100",,,291,최종 STR 291% 증가,868,"118,830",-,"93,950",,,291,최종 DEX 291% 증가,868,"118,830",-,"93,950",,,291,최종 INT 291% 증가,868,"118,830",-,"93,950",,,291,최종 LUK 291% 증가,868,"118,830",-,"93,950",,,291,최종 공격력 291% 증가,"1,158","159,193",-,"99,100",,,291,최종 크리티컬 데미지 291% 증가,"1,448","199,556",-,"102,360",,,,,,,,,,,,,,,,
,292,올스텟 +292,59,"8,673",-,"28,910",,,,,,,,,,,292,환생 포인트 획득량 292% 증가,582,"81,168",-,"99,100",,,292,최종 STR 292% 증가,871,"119,698",-,"93,950",,,292,최종 DEX 292% 증가,871,"119,698",-,"93,950",,,292,최종 INT 292% 증가,871,"119,698",-,"93,950",,,292,최종 LUK 292% 증가,871,"119,698",-,"93,950",,,292,최종 공격력 292% 증가,"1,162","160,351",-,"99,100",,,292,최종 크리티컬 데미지 292% 증가,"1,453","201,004",-,"102,360",,,,,,,,,,,,,,,,
,293,올스텟 +293,59,"8,732",-,"28,910",,,,,,,,,,,293,환생 포인트 획득량 293% 증가,584,"81,750",-,"99,100",,,293,최종 STR 293% 증가,874,"120,569",-,"93,950",,,293,최종 DEX 293% 증가,874,"120,569",-,"93,950",,,293,최종 INT 293% 증가,874,"120,569",-,"93,950",,,293,최종 LUK 293% 증가,874,"120,569",-,"93,950",,,293,최종 공격력 293% 증가,"1,167","161,513",-,"99,100",,,293,최종 크리티컬 데미지 293% 증가,"1,459","202,457",-,"102,360",,,,,,,,,,,,,,,,
,294,올스텟 +294,59,"8,791",-,"28,910",,,,,,,,,,,294,환생 포인트 획득량 294% 증가,586,"82,334",-,"99,100",,,294,최종 STR 294% 증가,878,"121,443",-,"93,950",,,294,최종 DEX 294% 증가,878,"121,443",-,"93,950",,,294,최종 INT 294% 증가,878,"121,443",-,"93,950",,,294,최종 LUK 294% 증가,878,"121,443",-,"93,950",,,294,최종 공격력 294% 증가,"1,171","162,680",-,"99,100",,,294,최종 크리티컬 데미지 294% 증가,"1,464","203,916",-,"102,360",,,,,,,,,,,,,,,,
,295,올스텟 +295,60,"8,850",💎 790,"29,700",,,,,,,,,,,295,환생 포인트 획득량 295% 증가,588,"82,920","💎 2,000","101,100",,,295,최종 STR 295% 증가,881,"122,321","💎 2,000","95,950",,,295,최종 DEX 295% 증가,881,"122,321","💎 2,000","95,950",,,295,최종 INT 295% 증가,881,"122,321","💎 2,000","95,950",,,295,최종 LUK 295% 증가,881,"122,321","💎 2,000","95,950",,,295,최종 공격력 295% 증가,"1,175","163,851","💎 2,000","101,100",,,295,최종 크리티컬 데미지 295% 증가,"1,470","205,380","💎 2,000","104,360",,,,,,,,,,,,,,,,
,296,올스텟 +296,60,"8,910",-,"29,700",,,,,,,,,,,296,환생 포인트 획득량 296% 증가,590,"83,508",-,"101,100",,,296,최종 STR 296% 증가,884,"123,202",-,"95,950",,,296,최종 DEX 296% 증가,884,"123,202",-,"95,950",,,296,최종 INT 296% 증가,884,"123,202",-,"95,950",,,296,최종 LUK 296% 증가,884,"123,202",-,"95,950",,,296,최종 공격력 296% 증가,"1,180","165,026",-,"101,100",,,296,최종 크리티컬 데미지 296% 증가,"1,475","206,850",-,"104,360",,,,,,,,,,,,,,,,
,297,올스텟 +297,60,"8,970",-,"29,700",,,,,,,,,,,297,환생 포인트 획득량 297% 증가,593,"84,098",-,"101,100",,,297,최종 STR 297% 증가,888,"124,086",-,"95,950",,,297,최종 DEX 297% 증가,888,"124,086",-,"95,950",,,297,최종 INT 297% 증가,888,"124,086",-,"95,950",,,297,최종 LUK 297% 증가,888,"124,086",-,"95,950",,,297,최종 공격력 297% 증가,"1,184","166,206",-,"101,100",,,297,최종 크리티컬 데미지 297% 증가,"1,481","208,325",-,"104,360",,,,,,,,,,,,,,,,
,298,올스텟 +298,60,"9,030",-,"29,700",,,,,,,,,,,298,환생 포인트 획득량 298% 증가,595,"84,691",-,"101,100",,,298,최종 STR 298% 증가,891,"124,974",-,"95,950",,,298,최종 DEX 298% 증가,891,"124,974",-,"95,950",,,298,최종 INT 298% 증가,891,"124,974",-,"95,950",,,298,최종 LUK 298% 증가,891,"124,974",-,"95,950",,,298,최종 공격력 298% 증가,"1,189","167,390",-,"101,100",,,298,최종 크리티컬 데미지 298% 증가,"1,486","209,806",-,"104,360",,,,,,,,,,,,,,,,
,299,올스텟 +299,60,"9,090",-,"29,700",,,,,,,,,,,299,환생 포인트 획득량 299% 증가,597,"85,286",-,"101,100",,,299,최종 STR 299% 증가,894,"125,865",-,"95,950",,,299,최종 DEX 299% 증가,894,"125,865",-,"95,950",,,299,최종 INT 299% 증가,894,"125,865",-,"95,950",,,299,최종 LUK 299% 증가,894,"125,865",-,"95,950",,,299,최종 공격력 299% 증가,"1,193","168,579",-,"101,100",,,299,최종 크리티컬 데미지 299% 증가,"1,492","211,292",-,"104,360",,,,,,,,,,,,,,,,
,300,올스텟 +300,-,"9,150",-,"29,700",,,,,,,,,,,300,환생 포인트 획득량 300% 증가,-,"85,883",-,"101,100",,,300,최종 STR 300% 증가,-,"126,759",-,"95,950",,,300,최종 DEX 300% 증가,-,"126,759",-,"95,950",,,300,최종 INT 300% 증가,-,"126,759",-,"95,950",,,300,최종 LUK 300% 증가,-,"126,759",-,"95,950",,,300,최종 공격력 300% 증가,-,"169,772",-,"101,100",,,300,최종 크리티컬 데미지 300% 증가,-,"212,784",-,"104,360",,,,,,,,,,,,,,,,
